X;Y;Z
599651.0485;134916.5458;2637.318128
599715.3663;134916.5458;2680.70498
599779.684;134916.5458;2707.891103
599844.0018;134916.5458;2714.635788
599908.3195;134916.5458;2710.826537
599972.6373;134916.5458;2706.898132
600036.955;134916.5458;2699.107197
600101.2728;134916.5458;2689.370057
600165.5905;134916.5458;2669.749085
600229.9083;134916.5458;2644.514861
600294.226;134916.5458;2615.993198
600358.5438;134916.5458;2604.234137
600422.8615;134916.5458;2601.247564
600487.1793;134916.5458;2597.38198
600551.497;134916.5458;2593.138181
600615.8148;134916.5458;2589.36123
600680.1325;134916.5458;2586.006553
600744.4503;134916.5458;2580.495856
600808.768;134916.5458;2575.626597
600873.0858;134916.5458;2565.090694
600937.4035;134916.5458;2552.427622
601001.7213;134916.5458;2538.55689
601066.039;134916.5458;2524.78604
601130.3568;134916.5458;2512.178006
601194.6745;134916.5458;2503.498957
601258.9923;134916.5458;2499.403515
601323.31;134916.5458;2497.967031
601387.6278;134916.5458;2499.169663
601451.9455;134916.5458;2499.426394
601516.2632;134916.5458;2499.932457
601580.581;134916.5458;2507.585568
601644.8987;134916.5458;2515.879511
601709.2165;134916.5458;2522.143968
601773.5342;134916.5458;2526.458663
601837.852;134916.5458;2526.322908
601902.1697;134916.5458;2522.453885
601966.4875;134916.5458;2515.260555
602030.8052;134916.5458;2507.732388
602095.123;134916.5458;2502.476839
602159.4407;134916.5458;2500.151641
602223.7585;134916.5458;2499.896496
602288.0762;134916.5458;2500
602352.394;134916.5458;2500.049617
602416.7117;134916.5458;2499.376513
602481.0295;134916.5458;2498.075358
602545.3472;134916.5458;2496.265452
602609.665;134916.5458;2493.689656
602673.9827;134916.5458;2491.42024
602738.3005;134916.5458;2489.762283
602802.6182;134916.5458;2491.51148
602866.936;134916.5458;2499.194467
602931.2537;134916.5458;2519.25174
602995.5715;134916.5458;2550.434075
603059.8892;134916.5458;2587.030863
603124.207;134916.5458;2614.324128
603188.5247;134916.5458;2635.510074
603252.8425;134916.5458;2660.332808
603317.1602;134916.5458;2725.535283
603381.478;134916.5458;2810.08882
603445.7957;134916.5458;2769.825141
603510.1135;134916.5458;2701.56483
603574.4312;134916.5458;2680.463011
597206.9741;134852.2617;2537.423577
597271.2918;134852.2617;2534.392714
597335.6096;134852.2617;2523.971891
597399.9273;134852.2617;2508.877183
597464.2451;134852.2617;2498.870316
597528.5628;134852.2617;2492.300302
597592.8806;134852.2617;2484.380136
597657.1983;134852.2617;2471.158046
597721.5161;134852.2617;2456.226452
597785.8338;134852.2617;2441.553487
597850.1516;134852.2617;2425.295189
597914.4693;134852.2617;2410.184147
597978.7871;134852.2617;2398.683905
598043.1048;134852.2617;2381.52886
598107.4226;134852.2617;2360.301429
598171.7403;134852.2617;2335.10988
598236.0581;134852.2617;2313.051874
598300.3758;134852.2617;2296.164924
598364.6936;134852.2617;2282.209659
598429.0113;134852.2617;2279.18731
598493.3291;134852.2617;2287.816512
598557.6468;134852.2617;2298.916047
598621.9646;134852.2617;2301.445364
598686.2823;134852.2617;2299.694165
598750.6001;134852.2617;2309.236771
598814.9178;134852.2617;2348.266392
598879.2356;134852.2617;2389.129891
598943.5533;134852.2617;2409.593563
599007.8711;134852.2617;2434.471018
599072.1888;134852.2617;2480.01871
599136.5066;134852.2617;2503.134803
599200.8243;134852.2617;2522.131255
599265.1421;134852.2617;2542.632553
599329.4598;134852.2617;2572.160653
599393.7775;134852.2617;2586.085881
599458.0953;134852.2617;2596.860575
599522.413;134852.2617;2614.524152
599586.7308;134852.2617;2644.528884
599651.0485;134852.2617;2680.528705
599715.3663;134852.2617;2712.386784
599779.684;134852.2617;2723.107179
599844.0018;134852.2617;2724.462295
599908.3195;134852.2617;2720.502453
599972.6373;134852.2617;2707.783479
600036.955;134852.2617;2700.231509
600101.2728;134852.2617;2689.393329
600165.5905;134852.2617;2660.686485
600229.9083;134852.2617;2631.451021
600294.226;134852.2617;2605.909526
600358.5438;134852.2617;2597.979583
600422.8615;134852.2617;2593.428769
600487.1793;134852.2617;2589.213663
600551.497;134852.2617;2583.996689
600615.8148;134852.2617;2579.250841
600680.1325;134852.2617;2578.676663
600744.4503;134852.2617;2573.580503
600808.768;134852.2617;2565.006469
600873.0858;134852.2617;2554.995769
600937.4035;134852.2617;2543.455666
601001.7213;134852.2617;2531.184899
601066.039;134852.2617;2518.79191
601130.3568;134852.2617;2509.200542
601194.6745;134852.2617;2502.859582
601258.9923;134852.2617;2499.673235
601323.31;134852.2617;2500.000001
601387.6278;134852.2617;2500.000001
601451.9455;134852.2617;2500.024019
601516.2632;134852.2617;2500.51011
601580.581;134852.2617;2503.973355
601644.8987;134852.2617;2508.765423
601709.2165;134852.2617;2512.940346
601773.5342;134852.2617;2514.946919
601837.852;134852.2617;2516.19336
601902.1697;134852.2617;2514.103704
601966.4875;134852.2617;2509.79308
602030.8052;134852.2617;2504.314889
602095.123;134852.2617;2502.241571
602159.4407;134852.2617;2500.937547
602223.7585;134852.2617;2500.438907
602288.0762;134852.2617;2500.000003
602352.394;134852.2617;2500
602416.7117;134852.2617;2500.000001
602481.0295;134852.2617;2500.000001
602545.3472;134852.2617;2499.999999
602609.665;134852.2617;2494.418733
602673.9827;134852.2617;2491.640117
602738.3005;134852.2617;2490.233371
602802.6182;134852.2617;2493.645866
602866.936;134852.2617;2503.620697
602931.2537;134852.2617;2521.424956
602995.5715;134852.2617;2552.583124
603059.8892;134852.2617;2588.123389
603124.207;134852.2617;2616.716624
603188.5247;134852.2617;2642.21909
603252.8425;134852.2617;2670.525206
603317.1602;134852.2617;2714.398011
603381.478;134852.2617;2745.475342
603445.7957;134852.2617;2706.545322
603510.1135;134852.2617;2667.350668
603574.4312;134852.2617;2651.650511
597206.9741;134787.9775;2517.138263
597271.2918;134787.9775;2521.049667
597335.6096;134787.9775;2515.59107
597399.9273;134787.9775;2510.563124
597464.2451;134787.9775;2499.929593
597528.5628;134787.9775;2485.940181
597592.8806;134787.9775;2468.067426
597657.1983;134787.9775;2452.873853
597721.5161;134787.9775;2438.654074
597785.8338;134787.9775;2424.844181
597850.1516;134787.9775;2412.632797
597914.4693;134787.9775;2406.681781
597978.7871;134787.9775;2391.547524
598043.1048;134787.9775;2371.638045
598107.4226;134787.9775;2350.307926
598171.7403;134787.9775;2331.783337
598236.0581;134787.9775;2316.132913
598300.3758;134787.9775;2297.400807
598364.6936;134787.9775;2267.499976
598429.0113;134787.9775;2247.419803
598493.3291;134787.9775;2252.19835
598557.6468;134787.9775;2276.614227
598621.9646;134787.9775;2283.91462
598686.2823;134787.9775;2277.223797
598750.6001;134787.9775;2282.03437
598814.9178;134787.9775;2298.372543
598879.2356;134787.9775;2329.889781
598943.5533;134787.9775;2354.610211
599007.8711;134787.9775;2407.367597
599072.1888;134787.9775;2501.535636
599136.5066;134787.9775;2513.230141
599200.8243;134787.9775;2529.057505
599265.1421;134787.9775;2551.165901
599329.4598;134787.9775;2593.52206
599393.7775;134787.9775;2607.978245
599458.0953;134787.9775;2631.751179
599522.413;134787.9775;2660.801026
599586.7308;134787.9775;2684.853565
599651.0485;134787.9775;2704.652834
599715.3663;134787.9775;2723.019038
599779.684;134787.9775;2730.644042
599844.0018;134787.9775;2733.661447
599908.3195;134787.9775;2724.489075
599972.6373;134787.9775;2710.995256
600036.955;134787.9775;2703.622884
600101.2728;134787.9775;2683.364987
600165.5905;134787.9775;2650.924631
600229.9083;134787.9775;2622.46526
600294.226;134787.9775;2600.536077
600358.5438;134787.9775;2594.677414
600422.8615;134787.9775;2587.382925
600487.1793;134787.9775;2580.626303
600551.497;134787.9775;2575.78621
600615.8148;134787.9775;2570.828953
600680.1325;134787.9775;2570.599799
600744.4503;134787.9775;2563.072047
600808.768;134787.9775;2555.382732
600873.0858;134787.9775;2546.106879
